날짜          총지수
2025-10-02   117.42
2025-10-03   117.42
2025-10-04   117.42
2025-10-05   117.42
2025-10-06   117.42
2025-10-07   117.42
2025-10-08   117.42
2025-10-09   117.42
2025-10-10   117.42
2025-10-11   117.42
2025-10-12   117.42
2025-10-13   117.42
2025-10-14   117.42
2025-10-15   117.42
2025-10-16   117.42
2025-10-17   117.42
2025-10-18   117.42
2025-10-19   117.42
2025-10-20   117.42
2025-10-21   117.42
2025-10-22   117.42
2025-10-23   117.42
2025-10-24   117.42
2025-10-25   117.42
2025-10-26   117.42
2025-10-27   117.42
2025-10-28   117.42
2025-10-29   117.42
2025-10-30   117.42
2025-10-31   117.42
2025-11-01   117.20
2025-11-02   117.20
2025-11-03   117.20
2025-11-04   117.20
2025-11-05   117.20
2025-11-06   117.20
2025-11-07   117.20
2025-11-08   117.20
2025-11-09   117.20
2025-11-10   117.20
2025-11-11   117.20
2025-11-12   117.20
2025-11-13   117.20
2025-11-14   117.20
2025-11-15   117.20
2025-11-16   117.20
2025-11-17   117.20
2025-11-18   117.20
2025-11-19   117.20
2025-11-20   117.20
2025-11-21   117.20
2025-11-22   117.20
2025-11-23   117.20
2025-11-24   117.20
2025-11-25   117.20
2025-11-26   117.20
2025-11-27   117.20
2025-11-28   117.20
2025-11-29   117.20
2025-11-30   117.20
2025-12-01   117.57
2025-12-02   117.57
2025-12-03   117.57
2025-12-04   117.57
2025-12-05   117.57
2025-12-06   117.57
2025-12-07   117.57
2025-12-08   117.57
2025-12-09   117.57
2025-12-10   117.57
2025-12-11   117.57
2025-12-12   117.57
2025-12-13   117.57
2025-12-14   117.57
2025-12-15   117.57
2025-12-16   117.57
2025-12-17   117.57
2025-12-18   117.57
